,districtid,overall,cases
233,KA_Kalaburagi,1,61799
234,KA_Kodagu,1,35404
235,KA_Kolar,1,46371
236,KA_Koppal,1,35156
237,KA_Mandya,1,73024
238,KA_Mysuru,1,176170
239,KA_Raichur,1,39929
240,KA_Ramanagara,1,24109
241,KA_Shivamogga,1,68354
242,KA_Tumakuru,1,119284
243,KA_Udupi,1,73990
244,KA_Uttara Kannada,1,54991
245,KL_Alappuzha,1,264784
246,KL_Ernakulam,1,487971
247,KL_Idukki,1,110698
248,KL_Kannur,1,228090
249,KL_Kasaragod,1,124789
250,KL_Kollam,1,321123
251,KL_Kottayam,1,259284
252,KL_Kozhikode,1,442808
253,KL_Malappuram,1,499692
254,KL_Palakkad,1,311690
255,KL_Pathanamthitta,1,154563
256,KL_Thiruvananthapuram,1,371969
257,KL_Thrissur,1,413808
258,KL_Wayanad,1,98767
259,LA_Kargil,1,3601
260,LA_Leh,1,16959
261,MH_Ahmednagar,1,309868
262,MH_Akola,1,58676
263,MH_Amravati,1,96119
264,MH_Aurangabad,1,155020
265,MH_Beed,1,101633
266,MH_Bhandara,1,60058
267,MH_Buldhana,1,85079
268,MH_Chandrapur,1,88788
269,MH_Dhule,1,46288
270,MH_Gadchiroli,1,30355
271,MH_Gondia,1,40542
272,MH_Hingoli,1,18447
273,MH_Jalgaon,1,139884
274,MH_Jalna,1,60406
275,MH_Kolhapur,1,204102
276,MH_Latur,1,91516
277,MH_Mumbai,1,744570
278,MH_Nagpur,1,493156
279,MH_Nanded,1,90747
280,MH_Nandurbar,1,39980
281,MH_Nashik,1,405440
282,MH_Osmanabad,1,66305
283,MH_Palghar,1,134588
284,MH_Pune,1,1120093
285,MH_Raigad,1,188763
286,MH_Ratnagiri,1,75861
287,MH_Sangli,1,202176
288,MH_Satara,1,239214
289,MH_Sindhudurg,1,50705
290,MH_Solapur,1,205506
291,MH_Thane,1,596704
292,MH_Wardha,1,58354
293,MH_Washim,1,41660
294,MH_Yavatmal,1,76262
295,ML_East Garo Hills,1,1816
296,ML_East Jaintia Hills,1,2326
297,ML_East Khasi Hills,1,37183
298,ML_North Garo Hills,1,1657
299,ML_Ribhoi,1,9087
300,ML_South Garo Hills,1,1205
301,ML_South West Garo Hills,1,1840
302,ML_South West Khasi Hills,1,2272
303,ML_West Garo Hills,1,8838
304,ML_West Jaintia Hills,1,6101
305,ML_West Khasi Hills,1,3775
306,MN_Churachandpur,1,0
307,MP_Agar Malwa,1,3303
308,MP_Alirajpur,1,3504
309,MP_Anuppur,1,9229
310,MP_Ashoknagar,1,3670
311,MP_Balaghat,1,9093
312,MP_Barwani,1,8363
313,MP_Betul,1,12901
314,MP_Bhind,1,2994
315,MP_Bhopal,1,123373
316,MP_Burhanpur,1,2568
317,MP_Chhatarpur,1,7607
318,MP_Chhindwara,1,6732
319,MP_Damoh,1,8120
320,MP_Datia,1,6958
321,MP_Dewas,1,7723
322,MP_Dhar,1,12541
323,MP_Dindori,1,4623
324,MP_Guna,1,5132
325,MP_Gwalior,1,53099
326,MP_Harda,1,5055
327,MP_Hoshangabad,1,10682
328,MP_Indore,1,153052
329,MP_Jabalpur,1,50686
330,MP_Jhabua,1,7688
331,MP_Katni,1,9365
332,MP_Khandwa,1,4040
333,MP_Khargone,1,13966
334,MP_Mandla,1,5188
335,MP_Mandsaur,1,8637
336,MP_Morena,1,8236
337,MP_Narsinghpur,1,11200
338,MP_Neemuch,1,7925
339,MP_Panna,1,7324
340,MP_Raisen,1,9237
341,MP_Rajgarh,1,8708
342,MP_Ratlam,1,17857
343,MP_Rewa,1,16433
344,MP_Sagar,1,16597
345,MP_Satna,1,11965
346,MP_Sehore,1,10136
347,MP_Seoni,1,6774
348,MP_Shahdol,1,10080
349,MP_Shajapur,1,6349
350,MP_Sheopur,1,4000
351,MP_Shivpuri,1,12393
352,MP_Sidhi,1,9219
353,MP_Singrauli,1,8794
354,MP_Tikamgarh,1,6863
355,MP_Ujjain,1,18897
356,MP_Umaria,1,6293
357,MP_Vidisha,1,11919
358,MZ_Aizawl,1,39275
359,MZ_Champhai,1,1326
360,MZ_Kolasib,1,5374
361,MZ_Lawngtlai,1,3836
362,MZ_Lunglei,1,4568
363,MZ_Mamit,1,2384
364,MZ_Saiha,1,1515
365,MZ_Serchhip,1,1033
366,NL_Dimapur,1,13857
367,NL_Kiphire,1,240
368,NL_Kohima,1,9092
369,NL_Longleng,1,286
370,NL_Mokokchung,1,2175
371,NL_Mon,1,1129
372,NL_Peren,1,894
373,NL_Phek,1,516
374,NL_Tuensang,1,1004
375,NL_Wokha,1,351
376,NL_Zunheboto,1,613
377,OR_Angul,1,43537
378,OR_Balangir,1,23302
379,OR_Bargarh,1,30943
380,OR_Bhadrak,1,26036
381,OR_Boudh,1,12579
382,OR_Cuttack,1,90704
383,OR_Deogarh,1,6386
384,OR_Dhenkanal,1,19565
385,OR_Gajapati,1,9562
386,OR_Ganjam,1,33620
387,OR_Jagatsinghpur,1,26806
388,OR_Jajpur,1,42600
389,OR_Jharsuguda,1,23693
390,OR_Kalahandi,1,24241
391,OR_Kandhamal,1,11492
392,OR_Kendrapara,1,24239
393,OR_Kendujhar,1,20790
394,OR_Khordha,1,160721
395,OR_Koraput,1,18951
396,OR_Malkangiri,1,11597
397,OR_Mayurbhanj,1,39611
398,OR_Nabarangapur,1,23492
399,OR_Nayagarh,1,23199
400,OR_Nuapada,1,22842
401,OR_Puri,1,44561
402,OR_Rayagada,1,19987
403,OR_Sambalpur,1,30945
404,OR_Subarnapur,1,13128
405,OR_Sundargarh,1,61182
406,PB_Amritsar,1,47235
407,PB_Barnala,1,5927
408,PB_Bathinda,1,41632
409,PB_Faridkot,1,13877
410,PB_Fatehgarh Sahib,1,8821
411,PB_Fazilka,1,20207
412,PB_Ferozepur,1,14297
413,PB_Gurdaspur,1,22289
414,PB_Hoshiarpur,1,30729
415,PB_Jalandhar,1,63227
416,PB_Kapurthala,1,17804
417,PB_Ludhiana,1,87470
418,PB_Mansa,1,15598
419,PB_Moga,1,8641
420,PB_Pathankot,1,18658
421,PB_Patiala,1,48811
422,PB_Rupnagar,1,12890
423,PB_S.A.S. Nagar,1,68616
424,PB_Sangrur,1,15717
425,PB_Shahid Bhagat Singh Nagar,1,11446
426,PB_Sri Muktsar Sahib,1,18753
427,PB_Tarn Taran,1,8006
428,PY_Karaikal,1,15475
429,PY_Mahe,1,5332
430,PY_Puducherry,1,96233
431,RJ_Ajmer,1,37726
432,RJ_Alwar,1,59684
433,RJ_Banswara,1,10005
434,RJ_Baran,1,11995
435,RJ_Barmer,1,15551
436,RJ_Bharatpur,1,19595
437,RJ_Bhilwara,1,29777
438,RJ_Bikaner,1,40318
439,RJ_Bundi,1,7967
440,RJ_Chittorgarh,1,19809
441,RJ_Churu,1,16720
442,RJ_Dausa,1,13351
443,RJ_Dholpur,1,11007
444,RJ_Dungarpur,1,18407
445,RJ_Ganganagar,1,19341
446,RJ_Hanumangarh,1,16052
447,RJ_Jaipur,1,187683
448,RJ_Jaisalmer,1,13639
449,RJ_Jalore,1,10065
450,RJ_Jhalawar,1,13607
451,RJ_Jhunjhunu,1,14803
452,RJ_Jodhpur,1,112383
453,RJ_Karauli,1,7156
454,RJ_Kota,1,57051
455,RJ_Nagaur,1,17732
456,RJ_Pali,1,27316
457,RJ_Pratapgarh,1,16031
458,RJ_Rajsamand,1,17043
459,RJ_Sawai Madhopur,1,10613
460,RJ_Sikar,1,30610
461,RJ_Sirohi,1,13729
462,RJ_Tonk,1,9496
463,RJ_Udaipur,1,56389
464,TN_Ariyalur,1,16360
465,TN_Chennai,1,544323
466,TN_Coimbatore,1,236266
467,TN_Cuddalore,1,62330
468,TN_Dharmapuri,1,26874
469,TN_Dindigul,1,32487
470,TN_Erode,1,98545
471,TN_Kallakurichi,1,30132
472,TN_Kancheepuram,1,72876
473,TN_Kanyakumari,1,61015
474,TN_Karur,1,23118
475,TN_Krishnagiri,1,42103
476,TN_Madurai,1,74016
477,TN_Nagapattinam,1,19699
478,TN_Namakkal,1,48895
479,TN_Nilgiris,1,31782
480,TN_Perambalur,1,11714
481,TN_Pudukkottai,1,29132
482,TN_Ramanathapuram,1,20196
483,TN_Salem,1,96188
484,TN_Sivaganga,1,19391
485,TN_Thanjavur,1,70927
486,TN_Theni,1,43209
487,TN_Thiruvallur,1,115869
488,TN_Thiruvarur,1,39058
489,TN_Thoothukkudi,1,55497
490,TN_Tiruchirappalli,1,74431
491,TN_Tirunelveli,1,48461
492,TN_Tiruppur,1,90380
493,TN_Tiruvannamalai,1,53398
494,TN_Vellore,1,48872
495,TN_Viluppuram,1,44844
496,TN_Virudhunagar,1,45757
497,TR_Dhalai,1,6972
498,TR_Gomati,1,8000
499,TR_Khowai,1,4525
500,TR_North Tripura,1,7104
501,TR_Sipahijala,1,6256
502,TR_South Tripura,1,10058
503,TR_Unokoti,1,8510
504,TR_West Tripura,1,31533
505,UP_Agra,1,25748
506,UP_Aligarh,1,21276
507,UP_Ambedkar Nagar,1,5036
508,UP_Amethi,1,9959
509,UP_Amroha,1,16614
510,UP_Auraiya,1,10083
511,UP_Ayodhya,1,16917
512,UP_Azamgarh,1,17899
513,UP_Baghpat,1,9131
514,UP_Bahraich,1,11547
515,UP_Ballia,1,21609
516,UP_Banda,1,10990
517,UP_Barabanki,1,19839
518,UP_Bareilly,1,43982
519,UP_Basti,1,11714
520,UP_Bhadohi,1,7718
521,UP_Bijnor,1,14790
522,UP_Budaun,1,14930
523,UP_Bulandshahr,1,20205
524,UP_Chandauli,1,16205
525,UP_Chitrakoot,1,7108
526,UP_Deoria,1,20210
527,UP_Etah,1,9966
528,UP_Etawah,1,13932
529,UP_Farrukhabad,1,10343
530,UP_Fatehpur,1,6812
531,UP_Firozabad,1,8718
532,UP_Gautam Buddha Nagar,1,63264
533,UP_Ghaziabad,1,55638
534,UP_Ghazipur,1,21636
535,UP_Gonda,1,12282
536,UP_Gorakhpur,1,59400
537,UP_Hapur,1,12634
538,UP_Hardoi,1,13754
539,UP_Hathras,1,2920
540,UP_Jalaun,1,11662
541,UP_Jaunpur,1,22571
542,UP_Jhansi,1,36545
543,UP_Kannauj,1,9226
544,UP_Kanpur Dehat,1,6197
545,UP_Kanpur Nagar,1,82914
546,UP_Kasganj,1,4251
547,UP_Kaushambi,1,4418
548,UP_Kushinagar,1,15614
549,UP_Lalitpur,1,12738
550,UP_Lucknow,1,238700
551,UP_Maharajganj,1,12421
552,UP_Mahoba,1,4268
553,UP_Mainpuri,1,10025
554,UP_Mathura,1,20282
555,UP_Mau,1,8326
556,UP_Meerut,1,69441
557,UP_Mirzapur,1,11085
558,UP_Moradabad,1,39098
559,UP_Muzaffarnagar,1,31004
560,UP_Pilibhit,1,11029
561,UP_Prayagraj,1,78643
562,UP_Rae Bareli,1,17094
563,UP_Rampur,1,11824
564,UP_Saharanpur,1,32727
565,UP_Sambhal,1,9437
566,UP_Sant Kabir Nagar,1,8156
567,UP_Shahjahanpur,1,20356
568,UP_Shamli,1,12975
569,UP_Shrawasti,1,4387
570,UP_Siddharthnagar,1,9369
571,UP_Sitapur,1,12394
572,UP_Sonbhadra,1,16805
573,UP_Sultanpur,1,14913
574,UP_Unnao,1,15005
575,UP_Varanasi,1,85483
576,UT_Almora,1,12151
577,UT_Bageshwar,1,5748
578,UT_Chamoli,1,12176
579,UT_Champawat,1,7556
580,UT_Dehradun,1,112069
581,UT_Haridwar,1,51429
582,UT_Nainital,1,39133
583,UT_Pauri Garhwal,1,17603
584,UT_Pithoragarh,1,10204
585,UT_Rudraprayag,1,8766
586,UT_Tehri Garhwal,1,15821
587,UT_Udham Singh Nagar,1,37855
588,UT_Uttarkashi,1,12490
589,WB_Alipurduar,1,15227
590,WB_Bankura,1,35185
591,WB_Birbhum,1,40553
592,WB_Cooch Behar,1,28488
593,WB_Dakshin Dinajpur,1,17135
594,WB_Darjeeling,1,55225
595,WB_Hooghly,1,82998
596,WB_Howrah,1,95640
597,WB_Jalpaiguri,1,40850
598,WB_Jhargram,1,11705
599,WB_Kalimpong,1,6723
600,WB_Kolkata,1,312974
601,WB_Malda,1,32828
602,WB_Murshidabad,1,33727
603,WB_Nadia,1,70525
604,WB_North 24 Parganas,1,321951
605,WB_Paschim Bardhaman,1,56711
606,WB_Paschim Medinipur,1,51836
607,WB_Purba Bardhaman,1,40613
608,WB_Purba Medinipur,1,61697
609,WB_Purulia,1,19280
610,WB_South 24 Parganas,1,97737
611,WB_Uttar Dinajpur,1,19609
