,Stateid,weekid,dose1,dose2
496,DL,53,80893.0,70747.0
497,DL,54,99515.0,51811.0
498,DL,55,532730.0,38432.0
499,DL,56,493931.0,75593.0
500,DL,57,415749.0,94245.0
501,DL,58,274836.0,114710.0
502,DL,59,216007.0,145011.0
503,DL,60,432516.0,150147.0
504,DL,61,420102.0,185393.0
505,DL,62,472965.0,104987.0
506,DL,63,211070.0,52037.0
507,DL,64,222480.0,81145.0
508,DL,65,267860.0,155638.0
509,DL,66,304796.0,137733.0
510,DL,67,685715.0,121819.0
511,DL,68,837050.0,206630.0
512,DL,69,347699.0,169735.0
513,DL,70,320221.0,135129.0
514,DL,71,155109.0,172376.0
515,DL,72,93217.0,280822.0
516,DL,73,361519.0,270569.0
517,DL,74,506741.0,329534.0
518,DN,1,0.0,0.0
519,DN,2,0.0,0.0
520,DN,3,0.0,0.0
521,DN,4,0.0,0.0
522,DN,5,0.0,0.0
523,DN,6,0.0,0.0
524,DN,7,0.0,0.0
525,DN,8,0.0,0.0
526,DN,9,0.0,0.0
527,DN,10,0.0,0.0
528,DN,11,0.0,0.0
529,DN,12,0.0,0.0
530,DN,13,0.0,0.0
531,DN,14,0.0,0.0
532,DN,15,0.0,0.0
533,DN,16,0.0,0.0
534,DN,17,0.0,0.0
535,DN,18,0.0,0.0
536,DN,19,0.0,0.0
537,DN,20,0.0,0.0
538,DN,21,0.0,0.0
539,DN,22,0.0,0.0
540,DN,23,0.0,0.0
541,DN,24,0.0,0.0
542,DN,25,0.0,0.0
543,DN,26,0.0,0.0
544,DN,27,0.0,0.0
545,DN,28,0.0,0.0
546,DN,29,0.0,0.0
547,DN,30,0.0,0.0
548,DN,31,0.0,0.0
549,DN,32,0.0,0.0
550,DN,33,0.0,0.0
551,DN,34,0.0,0.0
552,DN,35,0.0,0.0
553,DN,36,0.0,0.0
554,DN,37,0.0,0.0
555,DN,38,0.0,0.0
556,DN,39,0.0,0.0
557,DN,40,0.0,0.0
558,DN,41,0.0,0.0
559,DN,42,0.0,0.0
560,DN,43,0.0,0.0
561,DN,44,23.0,0.0
562,DN,45,257.0,0.0
563,DN,46,572.0,0.0
564,DN,47,1403.0,0.0
565,DN,48,1805.0,71.0
566,DN,49,2316.0,394.0
567,DN,50,928.0,209.0
568,DN,51,3942.0,1210.0
569,DN,52,3086.0,1358.0
570,DN,53,4011.0,1348.0
571,DN,54,3713.0,680.0
572,DN,55,12368.0,1248.0
573,DN,56,24706.0,2260.0
574,DN,57,12834.0,2401.0
575,DN,58,4752.0,2206.0
576,DN,59,3037.0,3182.0
577,DN,60,2813.0,4205.0
578,DN,61,9081.0,5099.0
579,DN,62,28723.0,38.0
580,DN,63,40317.0,49.0
581,DN,64,36291.0,104.0
582,DN,65,43328.0,283.0
583,DN,66,41145.0,579.0
584,DN,67,60008.0,4986.0
585,DN,68,77257.0,15723.0
586,DN,69,47581.0,12135.0
587,DN,70,44556.0,6787.0
588,DN,71,19373.0,4797.0
589,DN,72,24891.0,3418.0
590,DN,73,25170.0,4142.0
591,DN,74,18093.0,11509.0
592,GA,1,0.0,0.0
593,GA,2,0.0,0.0
594,GA,3,0.0,0.0
595,GA,4,0.0,0.0
596,GA,5,0.0,0.0
597,GA,6,0.0,0.0
598,GA,7,0.0,0.0
599,GA,8,0.0,0.0
600,GA,9,0.0,0.0
601,GA,10,0.0,0.0
602,GA,11,0.0,0.0
603,GA,12,0.0,0.0
604,GA,13,0.0,0.0
605,GA,14,0.0,0.0
606,GA,15,0.0,0.0
607,GA,16,0.0,0.0
608,GA,17,0.0,0.0
609,GA,18,0.0,0.0
610,GA,19,0.0,0.0
611,GA,20,0.0,0.0
612,GA,21,0.0,0.0
613,GA,22,0.0,0.0
614,GA,23,0.0,0.0
615,GA,24,0.0,0.0
616,GA,25,0.0,0.0
617,GA,26,0.0,0.0
618,GA,27,0.0,0.0
619,GA,28,0.0,0.0
620,GA,29,0.0,0.0
621,GA,30,0.0,0.0
622,GA,31,0.0,0.0
623,GA,32,0.0,0.0
624,GA,33,0.0,0.0
625,GA,34,0.0,0.0
626,GA,35,0.0,0.0
627,GA,36,0.0,0.0
628,GA,37,0.0,0.0
629,GA,38,0.0,0.0
630,GA,39,0.0,0.0
631,GA,40,0.0,0.0
632,GA,41,0.0,0.0
633,GA,42,0.0,0.0
634,GA,43,0.0,0.0
635,GA,44,50.0,0.0
636,GA,45,921.0,0.0
637,GA,46,2493.0,0.0
638,GA,47,3996.0,0.0
639,GA,48,5817.0,309.0
640,GA,49,2845.0,964.0
641,GA,50,3748.0,1477.0
642,GA,51,17024.0,4156.0
643,GA,52,18901.0,4802.0
644,GA,53,20455.0,2625.0
645,GA,54,15441.0,2831.0
646,GA,55,19828.0,4451.0
647,GA,56,28866.0,9070.0
648,GA,57,51493.0,14593.0
649,GA,58,45666.0,16298.0
650,GA,59,44461.0,11688.0
651,GA,60,27329.0,9744.0
652,GA,61,32909.0,11207.0
653,GA,62,47020.0,453.0
654,GA,63,37256.0,293.0
655,GA,64,41010.0,1289.0
656,GA,65,56267.0,1598.0
657,GA,66,122640.0,3077.0
658,GA,67,101915.0,6866.0
659,GA,68,104524.0,20017.0
660,GA,69,64429.0,38377.0
661,GA,70,58469.0,42474.0
662,GA,71,37450.0,36859.0
663,GA,72,41482.0,26878.0
664,GA,73,32680.0,22663.0
665,GA,74,25430.0,34850.0
666,GJ,1,0.0,0.0
667,GJ,2,0.0,0.0
668,GJ,3,0.0,0.0
669,GJ,4,0.0,0.0
670,GJ,5,0.0,0.0
671,GJ,6,0.0,0.0
672,GJ,7,0.0,0.0
673,GJ,8,0.0,0.0
674,GJ,9,0.0,0.0
675,GJ,10,0.0,0.0
676,GJ,11,0.0,0.0
677,GJ,12,0.0,0.0
678,GJ,13,0.0,0.0
679,GJ,14,0.0,0.0
680,GJ,15,0.0,0.0
681,GJ,16,0.0,0.0
682,GJ,17,0.0,0.0
683,GJ,18,0.0,0.0
684,GJ,19,0.0,0.0
685,GJ,20,0.0,0.0
686,GJ,21,0.0,0.0
687,GJ,22,0.0,0.0
688,GJ,23,0.0,0.0
689,GJ,24,0.0,0.0
690,GJ,25,0.0,0.0
691,GJ,26,0.0,0.0
692,GJ,27,0.0,0.0
693,GJ,28,0.0,0.0
694,GJ,29,0.0,0.0
695,GJ,30,0.0,0.0
696,GJ,31,0.0,0.0
697,GJ,32,0.0,0.0
698,GJ,33,0.0,0.0
699,GJ,34,0.0,0.0
700,GJ,35,0.0,0.0
701,GJ,36,0.0,0.0
702,GJ,37,0.0,0.0
703,GJ,38,0.0,0.0
704,GJ,39,0.0,0.0
705,GJ,40,0.0,0.0
706,GJ,41,0.0,0.0
707,GJ,42,0.0,0.0
708,GJ,43,0.0,0.0
709,GJ,44,1249.0,0.0
710,GJ,45,43624.0,0.0
711,GJ,46,166678.0,0.0
712,GJ,47,237260.0,0.0
713,GJ,48,310988.0,2.0
714,GJ,49,50916.0,58540.0
715,GJ,50,11018.0,109044.0
716,GJ,51,592876.0,163278.0
717,GJ,52,540133.0,183111.0
718,GJ,53,869323.0,100063.0
719,GJ,54,1506501.0,33746.0
720,GJ,55,1718471.0,141764.0
721,GJ,56,1933596.0,283697.0
722,GJ,57,938722.0,342208.0
723,GJ,58,574344.0,525097.0
724,GJ,59,596883.0,646257.0
725,GJ,60,584044.0,617574.0
726,GJ,61,536418.0,638157.0
727,GJ,62,298440.0,55584.0
728,GJ,63,1122629.0,192021.0
729,GJ,64,1281070.0,195889.0
730,GJ,65,1606954.0,260016.0
731,GJ,66,1594163.0,241213.0
732,GJ,67,2214681.0,539058.0
733,GJ,68,1322045.0,573446.0
734,GJ,69,719894.0,364369.0
735,GJ,70,1189438.0,524363.0
736,GJ,71,1390917.0,574960.0
737,GJ,72,1388115.0,574033.0
738,GJ,73,2119509.0,813396.0
739,GJ,74,2758409.0,872633.0
740,HP,1,0.0,0.0
741,HP,2,0.0,0.0
742,HP,3,0.0,0.0
743,HP,4,0.0,0.0
744,HP,5,0.0,0.0
745,HP,6,0.0,0.0
746,HP,7,0.0,0.0
747,HP,8,0.0,0.0
748,HP,9,0.0,0.0
749,HP,10,0.0,0.0
750,HP,11,0.0,0.0
751,HP,12,0.0,0.0
752,HP,13,0.0,0.0
753,HP,14,0.0,0.0
754,HP,15,0.0,0.0
755,HP,16,0.0,0.0
756,HP,17,0.0,0.0
757,HP,18,0.0,0.0
758,HP,19,0.0,0.0
759,HP,20,0.0,0.0
760,HP,21,0.0,0.0
761,HP,22,0.0,0.0
762,HP,23,0.0,0.0
763,HP,24,0.0,0.0
764,HP,25,0.0,0.0
765,HP,26,0.0,0.0
766,HP,27,0.0,0.0
767,HP,28,0.0,0.0
768,HP,29,0.0,0.0
769,HP,30,0.0,0.0
770,HP,31,0.0,0.0
771,HP,32,0.0,0.0
772,HP,33,0.0,0.0
773,HP,34,0.0,0.0
774,HP,35,0.0,0.0
775,HP,36,0.0,0.0
776,HP,37,0.0,0.0
777,HP,38,0.0,0.0
778,HP,39,0.0,0.0
779,HP,40,0.0,0.0
780,HP,41,0.0,0.0
781,HP,42,0.0,0.0
782,HP,43,0.0,0.0
783,HP,44,189.0,0.0
784,HP,45,5017.0,0.0
785,HP,46,16642.0,0.0
786,HP,47,25097.0,0.0
787,HP,48,25961.0,449.0
788,HP,49,16903.0,10889.0
789,HP,50,6039.0,8255.0
790,HP,51,18529.0,23250.0
791,HP,52,41539.0,17279.0
792,HP,53,78358.0,15120.0
793,HP,54,88271.0,6584.0
794,HP,55,160765.0,4382.0
795,HP,56,296051.0,13952.0
796,HP,57,285927.0,27350.0
797,HP,58,197372.0,44012.0
798,HP,59,193645.0,71811.0
799,HP,60,126058.0,88934.0
800,HP,61,77824.0,65273.0
801,HP,62,110656.0,504.0
802,HP,63,90958.0,334.0
803,HP,64,90001.0,566.0
804,HP,65,61433.0,1705.0
805,HP,66,209088.0,3931.0
806,HP,67,585619.0,30133.0
807,HP,68,350752.0,128132.0
808,HP,69,42986.0,233716.0
809,HP,70,75822.0,169381.0
810,HP,71,223261.0,120777.0
811,HP,72,198360.0,100736.0
812,HP,73,230353.0,82671.0
813,HP,74,731318.0,143485.0
814,HR,1,0.0,0.0
815,HR,2,0.0,0.0
816,HR,3,0.0,0.0
817,HR,4,0.0,0.0
818,HR,5,0.0,0.0
819,HR,6,0.0,0.0
820,HR,7,0.0,0.0
821,HR,8,0.0,0.0
822,HR,9,0.0,0.0
823,HR,10,0.0,0.0
824,HR,11,0.0,0.0
825,HR,12,0.0,0.0
826,HR,13,0.0,0.0
827,HR,14,0.0,0.0
828,HR,15,0.0,0.0
829,HR,16,0.0,0.0
830,HR,17,0.0,0.0
831,HR,18,0.0,0.0
832,HR,19,0.0,0.0
833,HR,20,0.0,0.0
834,HR,21,0.0,0.0
835,HR,22,0.0,0.0
836,HR,23,0.0,0.0
837,HR,24,0.0,0.0
838,HR,25,0.0,0.0
839,HR,26,0.0,0.0
840,HR,27,0.0,0.0
841,HR,28,0.0,0.0
842,HR,29,0.0,0.0
843,HR,30,0.0,0.0
844,HR,31,0.0,0.0
845,HR,32,0.0,0.0
846,HR,33,0.0,0.0
847,HR,34,0.0,0.0
848,HR,35,0.0,0.0
849,HR,36,0.0,0.0
850,HR,37,0.0,0.0
851,HR,38,0.0,0.0
852,HR,39,0.0,0.0
853,HR,40,0.0,0.0
854,HR,41,0.0,0.0
855,HR,42,0.0,0.0
856,HR,43,0.0,0.0
857,HR,44,1864.0,0.0
858,HR,45,41486.0,0.0
859,HR,46,51793.0,0.0
860,HR,47,13821.0,0.0
861,HR,48,68718.0,590.0
862,HR,49,26450.0,18663.0
863,HR,50,13841.0,42413.0
864,HR,51,43546.0,12757.0
865,HR,52,106522.0,28108.0
866,HR,53,353390.0,25684.0
867,HR,54,368204.0,14043.0
868,HR,55,504758.0,17302.0
869,HR,56,494257.0,35052.0
870,HR,57,617594.0,121770.0
871,HR,58,325976.0,154159.0
872,HR,59,179394.0,94592.0
873,HR,60,361976.0,149404.0
874,HR,61,403805.0,201816.0
875,HR,62,434462.0,29461.0
876,HR,63,404594.0,42523.0
877,HR,64,389453.0,29997.0
878,HR,65,481040.0,44666.0
